categoria;categoria_id;codigo_barra;marca;marca_id;nombre;precio;precio_lista;producto_id;sku_id;stock;url
AURICULARES;39;4895229110250;PHILIPS;2001095;AURICULARES PHILIPS TAH4105WT/00 BLANCO VINCHA;5754.98;7673.3;464783;11566;6;https://www.hiperlibertad.com.ar/auriculares-philips-tah4105wt-00-blanco/p
AURICULARES;39;4895229109681;PHILIPS;2001095;AURICULARES PHILIPS TAH4105BK/00 NEGRO VINCHA;5754.98;7673.3;464782;11619;6;https://www.hiperlibertad.com.ar/auriculares-philips-tah4105bk-00-negro/p
AURICULARES;39;4895229110281;PHILIPS;2001095;Auriculares On Ear PHILIPS Bluetooth TAH4205WT/00 Blanco;15404.25;20539.0;464780;11437;7;https://www.hiperlibertad.com.ar/auriculares-on-ear-bluetooth-tah4205wt-00-blanco/p
AURICULARES;39;4895229109896;Philips;2000001;AURICULARES BT PHILIPS TAT2205BK/00 Negro;14759.25;19679.0;464715;13813;1;https://www.hiperlibertad.com.ar/auriculares-bt-philips-tat2205bk-00-negro/p
AURICULARES;39;6951613992029;Philips;2000001;Auriculares In Ear Philips shs3305BK/10 Negros;4701.75;6269.0;445373;1146;5;https://www.hiperlibertad.com.ar/auriculares-in-ear-philips-shs3305bk-10-negros/p
AURICULARES;39;6951613991442;Philips;2000001;Auriculares Philips vincha SHL5005WT/00 Blanco;5856.75;7809.0;441892;2512;2;https://www.hiperlibertad.com.ar/auriculares-philips-vincha-shl5005wt-00-blanco/p
AURICULARES;39;4895229117402;Philips;2000001;AURICULARES INALAMBRICOS PHILIPS TAT2206BK NEGRO;10896.75;14529.0;502407;39481;1;https://www.hiperlibertad.com.ar/auriculares-inalambricos-philips-tat2206bk-negro/p
AURICULARES;39;7503034665601;Mir;2000012;Auriculares Dekkin Vincha Con Cable Rosa;4749.05;4999.0;501851;38646;1;https://www.hiperlibertad.com.ar/auriculares-dekkin-vincha-con-cable-rosa/p
AURICULARES;39;7503034665625;Mir;2000012;Auriculares Dekkin Vincha Con Cable Verde;4749.05;4999.0;501850;38648;1;https://www.hiperlibertad.com.ar/auriculares-dekkin-vincha-con-cable-verde/p
AURICULARES;39;7503034665595;Mir;2000012;Auriculares Dekkin Vincha Con Cable Negro;4749.05;4999.0;501849;38647;1;https://www.hiperlibertad.com.ar/auriculares-dekkin-vincha-con-cable-negro/p
